account_id,company_name,industry,customer_segment,contract_type,payment_method,tenure_months,monthly_charges,total_charges,contract_licenses,active_users,support_tickets_30d,sla_breaches_90d,nps_score,last_login_days_ago,feature_usage_score,executive_sponsor_present,discount_percentage,paperless_billing,auto_renewal,churn
AC-1379,Zenith Solutions,E-Commerce,Enterprise,1-Year Fixed,Auto-Invoice,6,2217.58,13229.07,375,140,4,2,4,3,45.6,0,0,1,1,1
AC-1380,Crest Logistics,Enterprise Tech,Enterprise,1-Year Fixed,ACH Direct Debit,62,2338.79,147771.79,87,81,1,1,8,2,71.1,1,15,1,1,0
AC-1381,Starlight Data,Enterprise Tech,Mid-Market,Month-to-Month,Auto-Invoice,5,670.73,3378.79,63,45,0,0,4,2,56.6,1,10,1,0,0
AC-1382,Quantum Health,Manufacturing,Enterprise,Month-to-Month,Auto-Invoice,70,4688.13,317561.37,157,150,4,0,5,4,60.7,1,25,1,0,0
AC-1383,Synergy Systems,Enterprise Tech,Mid-Market,1-Year Fixed,Auto-Invoice,63,700.35,44528.26,57,31,3,1,6,4,97.8,1,0,1,1,0
AC-1384,Nexus Data,Logistics,Enterprise,2-Year Fixed,ACH Direct Debit,56,2439.21,137143.74,200,155,6,0,10,4,38.3,0,5,1,1,0
AC-1385,Solstice Health,Financial Services,Enterprise,2-Year Fixed,Credit Card,59,2699.13,159151.62,123,55,4,0,5,0,81.8,0,5,1,1,0
AC-1386,Velocity Data,E-Commerce,Mid-Market,Month-to-Month,Auto-Invoice,63,1779.44,112255.2,49,36,2,0,7,9,59.4,0,15,1,1,0
AC-1387,Apex Health,E-Commerce,SMB,1-Year Fixed,Credit Card,59,788.33,44948.63,16,6,5,2,8,4,58.5,0,0,1,0,0
AC-1388,Quantum Systems,Healthcare,Mid-Market,3-Year Enterprise,Credit Card,51,730.84,37136.71,47,14,4,2,10,10,48.0,1,5,1,0,0
AC-1389,Hyperion Labs,Financial Services,SMB,1-Year Fixed,Credit Card,50,341.45,17252.88,9,9,4,0,9,10,81.6,1,0,1,1,0
AC-1390,Hyperion Logistics,Enterprise Tech,Enterprise,2-Year Fixed,Auto-Invoice,4,3907.11,15611.95,456,314,4,0,9,2,64.6,0,15,1,1,0
AC-1391,Crest Labs,Enterprise Tech,SMB,Month-to-Month,ACH Direct Debit,48,772.79,37051.95,18,17,1,0,9,0,62.3,0,0,1,1,0
AC-1392,Hyperion Labs,Financial Services,Enterprise,3-Year Enterprise,Auto-Invoice,32,2013.73,61716.91,362,193,2,0,5,14,70.0,0,0,1,0,0
AC-1393,Aegis Data,E-Commerce,Mid-Market,2-Year Fixed,Credit Card,51,1185.2,58576.08,40,21,5,0,8,8,64.9,1,5,1,0,0
AC-1394,Omni Corp,Professional Services,Mid-Market,3-Year Enterprise,Auto-Invoice,52,719.88,36763.59,51,30,5,0,9,0,32.0,1,5,1,0,0
AC-1395,Nexus Global,Manufacturing,SMB,1-Year Fixed,Auto-Invoice,34,437.73,14762.79,13,10,6,2,5,7,59.2,1,0,1,0,0
AC-1396,Starlight Health,Logistics,Mid-Market,1-Year Fixed,Auto-Invoice,36,974.26,35402.83,25,17,2,0,6,0,84.1,0,0,0,1,0
AC-1397,Vortex Health,Logistics,Enterprise,3-Year Enterprise,Credit Card,70,3713.32,269376.92,319,302,2,1,6,0,40.9,1,15,1,1,0
AC-1398,Apex Systems,E-Commerce,Enterprise,Month-to-Month,Auto-Invoice,43,3488.34,144886.14,83,26,5,0,9,4,48.4,0,0,1,0,1
AC-1399,Omni Technologies,Financial Services,SMB,Month-to-Month,ACH Direct Debit,16,229.69,3496.83,8,6,4,0,7,0,60.3,1,0,1,1,1
AC-1400,Hyperion Global,Manufacturing,Mid-Market,2-Year Fixed,Auto-Invoice,59,1955.8,114806.44,27,14,5,2,7,20,54.9,1,0,1,1,0
AC-1401,Synergy Health,E-Commerce,SMB,2-Year Fixed,Credit Card,53,599.28,31546.19,17,7,1,0,5,13,67.5,1,20,1,0,0
AC-1402,Aegis Data,Healthcare,Enterprise,3-Year Enterprise,ACH Direct Debit,19,2457.97,46943.82,228,150,9,0,7,6,48.3,1,0,1,1,0
AC-1403,Titan Capital,Enterprise Tech,Mid-Market,Month-to-Month,Credit Card,41,771.27,32675.79,58,38,5,0,6,0,61.0,1,15,1,0,0
AC-1404,Hyperion Data,Financial Services,Enterprise,2-Year Fixed,ACH Direct Debit,47,2025.99,98100.65,78,31,7,2,8,2,67.1,0,15,1,1,0
AC-1405,Quantum Data,Healthcare,SMB,2-Year Fixed,Credit Card,54,449.09,23280.93,8,4,6,1,5,2,79.7,0,5,0,0,0
AC-1406,Omni Capital,Manufacturing,Mid-Market,Month-to-Month,Auto-Invoice,55,1035.63,59431.67,70,41,3,2,8,4,90.4,1,0,1,0,0
AC-1407,Titan Data,Healthcare,SMB,1-Year Fixed,ACH Direct Debit,19,383.83,7008.65,20,12,6,1,6,1,63.3,0,10,0,1,0
AC-1408,Starlight Logistics,Financial Services,Enterprise,Month-to-Month,Auto-Invoice,62,2987.99,187748.37,399,208,5,0,5,5,100.0,0,10,1,0,0
AC-1409,Quantum Logistics,Professional Services,Mid-Market,Month-to-Month,Credit Card,59,835.74,50158.77,57,23,5,1,4,3,64.7,1,15,1,0,0
AC-1410,Crest Solutions,Enterprise Tech,Mid-Market,3-Year Enterprise,ACH Direct Debit,65,1674.49,110799.67,20,6,1,0,5,18,82.9,1,15,1,0,0
AC-1411,Crest Data,Financial Services,Mid-Market,1-Year Fixed,Auto-Invoice,68,1649.23,109516.11,29,28,7,1,7,16,100.0,1,0,1,1,0
AC-1412,Omni Health,Enterprise Tech,SMB,2-Year Fixed,Auto-Invoice,28,515.22,14181.41,11,11,3,0,7,5,70.5,0,10,0,1,0
AC-1413,Starlight Cloud,E-Commerce,SMB,3-Year Enterprise,Credit Card,18,268.81,4862.13,18,11,5,0,8,6,43.3,0,0,0,0,0
AC-1414,Hyperion Systems,Manufacturing,SMB,1-Year Fixed,ACH Direct Debit,26,795.03,20049.8,17,17,5,1,8,0,69.6,1,5,1,0,1
AC-1415,Acme Systems,Financial Services,Mid-Market,2-Year Fixed,Manual Wire,19,1433.67,25933.07,20,15,4,1,6,1,57.0,1,10,0,1,1
AC-1416,Omni Corp,Manufacturing,Enterprise,1-Year Fixed,Credit Card,55,3620.36,200357.22,372,130,6,0,9,14,63.1,1,0,0,0,1
AC-1417,Zenith Data,Financial Services,Enterprise,2-Year Fixed,Credit Card,57,2407.92,136774.88,213,81,6,0,6,7,100.0,1,0,1,1,0
AC-1418,Zenith Global,Manufacturing,SMB,Month-to-Month,Manual Wire,6,671.06,4089.47,14,13,1,1,8,1,46.0,1,0,1,0,0
AC-1419,Zenith Technologies,Logistics,Enterprise,3-Year Enterprise,Auto-Invoice,1,4094.77,3950.1,124,92,2,0,7,5,73.4,0,5,1,1,0
AC-1420,Vortex Global,Logistics,Mid-Market,Month-to-Month,Auto-Invoice,8,751.41,6216.22,70,62,5,0,8,16,52.2,0,15,0,1,1
AC-1421,Omni Health,Enterprise Tech,Mid-Market,Month-to-Month,ACH Direct Debit,51,952.24,46846.14,35,33,4,1,7,2,62.5,0,5,1,0,0
AC-1422,Vortex Logistics,Professional Services,Mid-Market,2-Year Fixed,ACH Direct Debit,25,980.75,25478.28,69,42,4,0,8,1,81.4,1,10,1,1,0
AC-1423,Quantum Solutions,E-Commerce,SMB,1-Year Fixed,ACH Direct Debit,47,603.63,28227.4,7,2,5,0,7,17,73.7,0,0,0,1,0
AC-1424,Aegis Labs,Financial Services,Mid-Market,1-Year Fixed,Credit Card,55,667.97,36921.33,78,34,1,0,9,3,63.9,1,0,1,0,0
AC-1425,Synergy Capital,Logistics,Mid-Market,1-Year Fixed,Auto-Invoice,64,1511.67,100583.68,60,21,5,0,5,3,56.3,1,0,1,0,0
AC-1426,Apex Technologies,Financial Services,Enterprise,2-Year Fixed,Credit Card,10,1535.28,15045.61,252,109,4,0,3,1,73.7,0,5,1,0,1
AC-1427,Apex Solutions,Manufacturing,Mid-Market,Month-to-Month,Auto-Invoice,56,714.61,38744.89,74,43,5,0,5,13,98.7,1,5,1,1,0
AC-1428,Velocity Systems,Enterprise Tech,Enterprise,Month-to-Month,Auto-Invoice,12,4282.76,51114.32,428,164,5,1,9,11,51.8,1,15,1,0,1
AC-1429,Aegis Labs,E-Commerce,Mid-Market,Month-to-Month,ACH Direct Debit,33,914.26,29399.32,61,25,3,2,7,3,100.0,1,5,1,1,0
AC-1430,Titan Health,Healthcare,SMB,1-Year Fixed,Auto-Invoice,71,595.72,42413.89,23,14,3,1,7,0,89.6,1,5,1,1,0
AC-1431,Hyperion Cloud,Enterprise Tech,SMB,Month-to-Month,ACH Direct Debit,17,528.58,8783.91,24,13,1,0,5,3,92.6,0,0,1,1,1
AC-1432,Aegis Systems,Enterprise Tech,Enterprise,1-Year Fixed,Credit Card,61,2014.41,127357.82,381,239,3,3,7,1,73.6,1,0,1,1,0
AC-1433,Zenith Systems,Enterprise Tech,Mid-Market,1-Year Fixed,Credit Card,10,1948.97,19698.87,70,42,10,0,5,0,89.1,0,0,1,1,0
AC-1434,Vortex Health,Healthcare,SMB,Month-to-Month,Auto-Invoice,31,502.24,14791.34,12,9,4,0,5,3,49.8,1,10,1,1,0
AC-1435,Nexus Systems,Financial Services,Enterprise,1-Year Fixed,Auto-Invoice,60,2663.04,164663.33,225,215,4,0,6,0,56.0,1,5,0,1,0
AC-1436,Omni Networks,Healthcare,Enterprise,2-Year Fixed,Auto-Invoice,70,3852.96,265127.9,454,170,3,2,8,19,81.8,1,0,1,0,0
AC-1437,Hyperion Data,Financial Services,Enterprise,Month-to-Month,Manual Wire,17,2020.42,33729.61,82,30,2,0,8,0,73.3,0,10,1,0,1
AC-1438,Apex Labs,Financial Services,Mid-Market,1-Year Fixed,ACH Direct Debit,50,1640.62,81071.75,29,26,3,0,8,3,65.3,1,5,1,0,0
AC-1439,Velocity Labs,E-Commerce,Enterprise,1-Year Fixed,Credit Card,37,2016.94,75598.89,206,135,6,2,4,1,23.0,1,0,1,1,0
AC-1440,Hyperion Global,Enterprise Tech,SMB,1-Year Fixed,Auto-Invoice,62,296.21,18258.61,18,15,5,0,7,7,60.2,1,10,1,0,0
AC-1441,Omni Networks,Manufacturing,Mid-Market,2-Year Fixed,Manual Wire,72,818.29,59674.76,64,29,5,0,7,0,46.9,0,15,1,0,0
AC-1442,Omni Labs,Manufacturing,Mid-Market,1-Year Fixed,Auto-Invoice,29,1218.59,34090.86,25,22,4,0,4,4,76.9,1,0,1,1,0
AC-1443,Omni Logistics,E-Commerce,Enterprise,1-Year Fixed,Auto-Invoice,32,1546.87,51827.15,323,306,3,1,7,9,64.6,0,10,1,1,1
AC-1444,Titan Global,Healthcare,Mid-Market,Month-to-Month,Credit Card,11,1133.24,12751.86,64,48,2,1,7,18,56.7,0,0,0,1,1
AC-1445,Apex Labs,Manufacturing,Mid-Market,1-Year Fixed,Manual Wire,6,1215.96,7113.52,52,19,3,0,8,7,100.0,0,15,1,1,0
AC-1446,Solstice Health,Enterprise Tech,SMB,1-Year Fixed,Auto-Invoice,35,580.73,20781.19,7,6,4,0,7,0,86.7,0,20,0,0,0
AC-1447,Solstice Systems,Enterprise Tech,SMB,Month-to-Month,Auto-Invoice,33,610.63,20301.97,8,7,6,2,6,0,87.0,1,5,0,1,0
AC-1448,Nexus Corp,Enterprise Tech,Mid-Market,1-Year Fixed,Manual Wire,18,747.34,12926.4,41,34,2,0,9,8,100.0,1,0,0,1,0
AC-1449,Solstice Systems,Logistics,SMB,3-Year Enterprise,Auto-Invoice,37,600.19,21492.4,6,2,3,0,3,1,82.4,1,5,1,1,0
AC-1450,Apex Capital,Enterprise Tech,SMB,1-Year Fixed,Auto-Invoice,13,340.21,4219.86,15,13,3,0,7,3,54.1,0,0,1,1,0
AC-1451,Vortex Data,Healthcare,SMB,1-Year Fixed,Credit Card,64,493.79,32579.83,20,8,1,1,3,23,52.0,0,0,0,0,1
AC-1452,Velocity Capital,Professional Services,Enterprise,3-Year Enterprise,ACH Direct Debit,1,2241.38,2252.97,222,101,3,0,5,10,85.4,0,10,1,0,0
AC-1453,Synergy Logistics,Manufacturing,Enterprise,2-Year Fixed,Credit Card,63,3898.65,241114.02,436,307,4,1,8,11,30.9,0,0,1,1,0
AC-1454,Titan Solutions,Healthcare,Enterprise,1-Year Fixed,Manual Wire,34,3835.94,125548.68,455,221,4,0,5,12,66.6,1,0,1,0,1
AC-1455,Hyperion Technologies,Enterprise Tech,Mid-Market,2-Year Fixed,Credit Card,10,1351.28,13491.24,66,50,5,0,4,5,28.9,1,10,1,0,0
AC-1456,Nexus Cloud,Logistics,Mid-Market,2-Year Fixed,Auto-Invoice,7,1941.17,13622.52,36,26,5,2,10,8,69.8,1,10,1,1,0
AC-1457,Vortex Data,Healthcare,Mid-Market,1-Year Fixed,Manual Wire,56,1423.94,81350.99,45,17,2,1,4,2,83.4,1,0,1,0,0
AC-1458,Apex Technologies,Enterprise Tech,SMB,1-Year Fixed,Credit Card,37,665.18,25768.25,6,5,2,2,10,39,73.0,0,10,1,1,0
AC-1459,Crest Labs,Enterprise Tech,SMB,1-Year Fixed,Auto-Invoice,29,680.99,19620.24,14,13,6,1,7,2,84.9,0,20,1,0,0
AC-1460,Solstice Cloud,Manufacturing,SMB,3-Year Enterprise,Credit Card,12,589.72,7010.14,21,9,4,1,6,5,100.0,1,0,1,0,0
AC-1461,Acme Systems,E-Commerce,Mid-Market,1-Year Fixed,Auto-Invoice,17,700.72,11757.3,58,42,2,1,8,2,65.4,1,5,1,1,0
AC-1462,Velocity Networks,Logistics,Mid-Market,Month-to-Month,Auto-Invoice,48,664.46,32936.77,71,38,2,1,10,0,100.0,1,10,1,0,0
AC-1463,Velocity Labs,Manufacturing,Enterprise,2-Year Fixed,Auto-Invoice,26,2251.88,56536.66,280,174,2,0,5,5,71.8,0,10,1,1,0
AC-1464,Omni Solutions,Healthcare,Enterprise,1-Year Fixed,Credit Card,12,3117.73,36828.42,296,148,3,3,6,2,85.1,0,0,1,1,1
AC-1465,Aegis Global,Healthcare,Enterprise,Month-to-Month,ACH Direct Debit,21,2682.36,57596.81,210,115,3,2,9,5,57.0,0,0,1,1,1
AC-1466,Synergy Technologies,Financial Services,Mid-Market,1-Year Fixed,Credit Card,42,1173.84,46913.59,59,19,5,1,8,5,97.1,1,15,1,0,0
AC-1467,Crest Solutions,Financial Services,Mid-Market,1-Year Fixed,Manual Wire,61,1487.71,88838.93,38,38,9,0,10,4,86.8,0,20,1,1,0
AC-1468,Hyperion Solutions,Financial Services,SMB,2-Year Fixed,Auto-Invoice,58,761.48,44790.55,16,12,9,0,8,0,94.5,1,15,1,0,0
AC-1469,Vortex Solutions,Logistics,Enterprise,Month-to-Month,Auto-Invoice,54,2003.49,104790.82,331,215,3,0,10,3,69.0,1,20,1,1,0
AC-1470,Solstice Cloud,E-Commerce,Mid-Market,2-Year Fixed,Auto-Invoice,34,1327.22,44235.2,74,42,1,0,8,10,45.4,1,10,1,0,0
AC-1471,Nexus Solutions,Manufacturing,Mid-Market,1-Year Fixed,Auto-Invoice,7,1253.54,8762.53,51,35,4,0,8,2,76.3,0,20,1,0,0
AC-1472,Starlight Health,Financial Services,Enterprise,Month-to-Month,Auto-Invoice,35,2833.93,98414.12,215,122,6,0,8,3,37.5,1,10,1,1,1
AC-1473,Hyperion Systems,E-Commerce,Mid-Market,3-Year Enterprise,ACH Direct Debit,15,1934.31,27871.55,67,37,4,0,7,4,61.9,0,20,0,1,0
AC-1474,Quantum Data,E-Commerce,Enterprise,1-Year Fixed,Manual Wire,65,4707.35,319386.78,295,184,5,1,9,12,71.4,1,0,1,1,0
AC-1475,Solstice Networks,Healthcare,Mid-Market,Month-to-Month,Manual Wire,25,841.42,20076.9,29,14,3,2,8,6,100.0,0,15,1,1,0
AC-1476,Titan Global,E-Commerce,Mid-Market,1-Year Fixed,Auto-Invoice,59,1741.99,105344.2,74,32,5,1,9,0,73.7,0,0,1,0,0
AC-1477,Apex Labs,Enterprise Tech,Enterprise,2-Year Fixed,ACH Direct Debit,6,2458.58,14119.27,251,173,8,0,9,12,70.5,0,0,1,0,1
AC-1478,Zenith Corp,Healthcare,Enterprise,Month-to-Month,Auto-Invoice,52,2045.07,105995.85,70,62,6,1,8,10,66.9,1,5,1,1,0
AC-1479,Titan Capital,Enterprise Tech,Mid-Market,Month-to-Month,Auto-Invoice,21,1929.86,39211.6,66,27,0,2,8,8,43.8,0,5,1,0,0
AC-1480,Apex Logistics,Financial Services,SMB,Month-to-Month,ACH Direct Debit,71,632.61,43303.29,13,4,2,2,5,3,69.5,1,0,1,0,0
AC-1481,Apex Data,Healthcare,Mid-Market,Month-to-Month,Credit Card,32,1939.18,59732.32,33,16,6,1,6,8,69.9,0,25,1,1,0
AC-1482,Starlight Capital,E-Commerce,Mid-Market,2-Year Fixed,Auto-Invoice,53,1115.58,58846.59,16,16,3,0,9,4,50.6,0,10,0,0,0
AC-1483,Omni Solutions,Professional Services,Mid-Market,1-Year Fixed,Credit Card,59,1504.75,88917.73,69,61,7,0,10,8,46.6,1,20,0,1,0
AC-1484,Hyperion Labs,E-Commerce,SMB,Month-to-Month,Auto-Invoice,69,451.79,30030.64,16,11,2,0,3,13,59.3,0,25,1,1,0
AC-1485,Vortex Cloud,E-Commerce,SMB,Month-to-Month,ACH Direct Debit,62,257.95,16759.59,20,19,5,0,6,13,69.2,1,5,1,1,0
AC-1486,Aegis Cloud,Healthcare,Mid-Market,Month-to-Month,Credit Card,4,1498.24,5847.79,29,18,5,1,7,3,59.8,1,0,1,0,0
AC-1487,Nexus Health,E-Commerce,Mid-Market,3-Year Enterprise,Manual Wire,18,1500.98,26906.44,57,56,3,2,5,12,49.1,1,0,1,0,1
AC-1488,Synergy Networks,Enterprise Tech,SMB,Month-to-Month,Auto-Invoice,56,559.57,30446.82,7,4,2,0,5,0,73.2,0,5,0,1,0
AC-1489,Velocity Cloud,Financial Services,Mid-Market,3-Year Enterprise,Auto-Invoice,24,1311.69,31461.43,38,18,0,1,8,0,77.7,1,10,1,0,0
AC-1490,Hyperion Capital,Financial Services,Mid-Market,1-Year Fixed,Credit Card,66,1174.72,79516.46,44,33,3,2,10,4,70.2,1,5,1,1,0
AC-1491,Starlight Capital,Healthcare,Enterprise,Month-to-Month,Credit Card,13,4283.48,55802.75,99,56,2,1,3,6,57.9,1,5,0,1,1
AC-1492,Starlight Capital,Enterprise Tech,SMB,2-Year Fixed,Auto-Invoice,62,537.68,32621.6,8,6,3,1,7,1,78.7,0,0,0,1,0
AC-1493,Acme Global,Enterprise Tech,SMB,1-Year Fixed,ACH Direct Debit,54,367.09,19324.11,21,11,3,0,8,3,64.6,1,5,0,1,0
AC-1494,Nexus Cloud,Financial Services,Enterprise,2-Year Fixed,ACH Direct Debit,15,4514.26,69467.25,279,204,2,2,9,0,46.6,1,0,0,0,0
AC-1495,Zenith Solutions,Professional Services,Mid-Market,3-Year Enterprise,Manual Wire,69,1135.26,75342.49,42,21,3,1,8,5,86.7,1,15,1,1,0
AC-1496,Zenith Logistics,Financial Services,Mid-Market,Month-to-Month,ACH Direct Debit,3,1225.78,3629.52,25,8,5,4,10,11,74.4,1,0,1,0,1
AC-1497,Nexus Global,Healthcare,Enterprise,Month-to-Month,ACH Direct Debit,37,4530.25,161777.43,79,74,1,1,7,8,65.9,1,5,1,1,1
AC-1498,Omni Labs,Enterprise Tech,SMB,2-Year Fixed,Credit Card,37,370.59,13379.97,20,18,3,0,10,2,39.7,0,0,1,0,0
AC-1499,Vortex Data,E-Commerce,Enterprise,Month-to-Month,ACH Direct Debit,3,4150.09,12017.85,165,162,2,2,6,31,54.6,0,15,1,1,1
AC-1500,Titan Technologies,Financial Services,Enterprise,Month-to-Month,Auto-Invoice,63,4112.59,269114.18,445,357,4,0,7,6,100.0,0,5,1,1,0
AC-1501,Omni Technologies,Enterprise Tech,Mid-Market,Month-to-Month,Auto-Invoice,35,770.17,27581.07,21,16,1,0,5,10,40.8,0,0,1,0,1
AC-1502,Apex Labs,Healthcare,Mid-Market,Month-to-Month,Auto-Invoice,52,762.96,39915.64,20,14,7,0,9,6,63.5,1,5,0,1,1
AC-1503,Acme Data,Enterprise Tech,Enterprise,2-Year Fixed,Credit Card,28,1808.44,49240.91,125,49,3,0,7,27,67.7,1,20,0,0,0
AC-1504,Titan Solutions,Enterprise Tech,Mid-Market,Month-to-Month,Auto-Invoice,18,718.01,12937.4,69,30,5,2,8,10,73.8,1,20,1,0,0
AC-1505,Apex Logistics,Enterprise Tech,Mid-Market,1-Year Fixed,Manual Wire,36,1468.04,52959.54,63,32,8,1,7,4,41.1,1,0,1,0,0
AC-1506,Zenith Cloud,Enterprise Tech,Enterprise,1-Year Fixed,Auto-Invoice,33,2873.95,95697.74,181,167,3,2,8,2,71.1,1,10,1,1,0
AC-1507,Acme Logistics,Enterprise Tech,Enterprise,1-Year Fixed,Auto-Invoice,64,4248.84,259963.34,469,197,8,2,8,7,37.7,0,0,0,0,1
AC-1508,Acme Health,Financial Services,Mid-Market,Month-to-Month,Credit Card,26,619.92,16880.14,20,19,3,1,5,5,69.8,1,0,1,1,0
AC-1509,Hyperion Capital,Logistics,Enterprise,2-Year Fixed,Auto-Invoice,48,2549.27,121942.05,447,298,4,3,5,6,56.3,1,5,1,0,0
AC-1510,Solstice Cloud,Healthcare,SMB,Month-to-Month,Auto-Invoice,40,549.77,22928.78,22,18,9,0,7,2,52.4,1,0,0,1,0
AC-1511,Velocity Systems,Healthcare,SMB,2-Year Fixed,Auto-Invoice,17,241.71,3907.65,22,8,7,0,9,3,83.0,1,15,1,1,0
AC-1512,Titan Corp,Financial Services,SMB,2-Year Fixed,Credit Card,40,228.61,8913.56,18,9,5,0,10,5,63.8,1,20,1,1,0
AC-1513,Apex Capital,Professional Services,Enterprise,1-Year Fixed,Credit Card,7,3079.33,20701.71,279,271,2,0,8,11,76.5,1,0,1,0,1
AC-1514,Apex Global,Financial Services,SMB,1-Year Fixed,ACH Direct Debit,57,765.13,44788.27,6,3,7,1,9,8,77.1,1,0,1,1,0
AC-1515,Zenith Corp,Enterprise Tech,Mid-Market,1-Year Fixed,ACH Direct Debit,8,1469.94,11548.0,40,20,3,1,4,0,90.9,0,5,1,0,0
AC-1516,Velocity Capital,E-Commerce,Mid-Market,1-Year Fixed,Credit Card,56,849.88,49213.8,62,27,2,0,10,1,46.3,0,10,1,0,1
AC-1517,Hyperion Logistics,Enterprise Tech,Enterprise,2-Year Fixed,Auto-Invoice,31,4477.0,143400.08,410,160,5,0,8,0,84.5,1,20,1,1,0
AC-1518,Crest Networks,Financial Services,Enterprise,2-Year Fixed,Auto-Invoice,59,4527.61,271611.28,121,56,7,0,7,0,68.3,1,15,1,0,0
AC-1519,Solstice Capital,Healthcare,Mid-Market,Month-to-Month,ACH Direct Debit,58,1942.78,114549.29,26,19,7,0,7,1,61.2,0,10,0,0,1
AC-1520,Vortex Logistics,Manufacturing,Mid-Market,1-Year Fixed,Auto-Invoice,12,700.63,8575.85,37,23,4,0,5,9,47.3,1,0,1,0,1
AC-1521,Solstice Cloud,Healthcare,Enterprise,3-Year Enterprise,Auto-Invoice,48,2821.17,137769.2,193,133,3,2,5,14,78.9,1,15,1,0,0
AC-1522,Quantum Global,E-Commerce,Mid-Market,3-Year Enterprise,ACH Direct Debit,31,1863.07,57102.01,23,9,7,1,10,3,51.4,1,0,0,0,0
AC-1523,Synergy Global,Professional Services,Enterprise,1-Year Fixed,Credit Card,63,2685.23,172262.38,333,287,1,1,5,5,77.3,1,20,0,1,0
AC-1524,Velocity Networks,Enterprise Tech,Mid-Market,1-Year Fixed,Auto-Invoice,39,1297.92,52630.51,31,26,0,0,5,7,100.0,1,0,1,0,0
AC-1525,Solstice Cloud,Financial Services,Mid-Market,Month-to-Month,Auto-Invoice,20,1090.01,21435.21,56,18,2,0,6,18,85.6,1,10,0,1,1
AC-1526,Velocity Data,Financial Services,SMB,3-Year Enterprise,Manual Wire,48,264.5,13260.83,11,6,5,0,5,15,93.0,0,0,1,1,0
AC-1527,Zenith Solutions,Financial Services,SMB,Month-to-Month,ACH Direct Debit,71,717.38,48456.46,14,5,5,2,7,0,55.1,1,5,0,1,1
AC-1528,Titan Technologies,Financial Services,Mid-Market,1-Year Fixed,ACH Direct Debit,54,690.86,36743.42,71,61,5,0,9,1,81.7,0,10,0,1,0
AC-1529,Nexus Global,Manufacturing,Mid-Market,Month-to-Month,Credit Card,71,1476.31,100961.74,28,23,5,1,6,0,47.4,0,10,1,1,0
AC-1530,Velocity Health,E-Commerce,Mid-Market,Month-to-Month,Credit Card,29,1183.59,33042.52,53,49,2,2,4,5,63.8,1,15,1,1,1
AC-1531,Synergy Labs,E-Commerce,SMB,1-Year Fixed,Manual Wire,48,561.77,27815.51,18,8,8,2,8,7,99.3,1,10,1,0,0
AC-1532,Crest Logistics,Financial Services,Mid-Market,3-Year Enterprise,Manual Wire,56,894.75,52202.28,32,20,6,0,7,2,57.1,1,0,1,1,0
AC-1533,Synergy Health,Logistics,Enterprise,Month-to-Month,Auto-Invoice,17,3643.46,63659.22,133,57,3,2,9,11,88.0,0,15,0,1,0
AC-1534,Apex Networks,Professional Services,Enterprise,1-Year Fixed,ACH Direct Debit,9,2900.01,27344.06,97,54,4,1,6,3,86.3,1,15,1,1,0
AC-1535,Hyperion Logistics,Logistics,Mid-Market,Month-to-Month,Auto-Invoice,34,1430.36,47252.68,59,39,1,0,7,39,87.3,0,0,0,0,1
AC-1536,Solstice Data,Enterprise Tech,Mid-Market,Month-to-Month,Auto-Invoice,45,1121.24,48643.43,18,6,4,0,7,0,45.2,0,15,1,1,0
AC-1537,Acme Systems,E-Commerce,SMB,1-Year Fixed,Credit Card,9,290.4,2619.01,17,14,7,1,7,0,77.5,1,25,1,1,0
AC-1538,Zenith Corp,Enterprise Tech,Enterprise,1-Year Fixed,Credit Card,7,3437.69,24855.62,423,288,2,1,6,2,65.2,1,10,1,1,0
AC-1539,Acme Corp,Financial Services,Mid-Market,Month-to-Month,Manual Wire,16,844.58,12891.45,79,70,2,1,6,0,87.6,1,0,1,1,0
AC-1540,Titan Global,Enterprise Tech,SMB,Month-to-Month,Auto-Invoice,19,333.67,6653.91,23,11,1,0,3,9,38.2,1,10,1,1,0
AC-1541,Acme Solutions,E-Commerce,SMB,Month-to-Month,Credit Card,6,276.83,1677.96,24,22,4,2,6,0,74.6,1,5,1,1,0
AC-1542,Velocity Corp,E-Commerce,Mid-Market,Month-to-Month,Manual Wire,11,1487.34,17144.32,58,58,4,1,9,8,72.1,0,10,1,0,0
AC-1543,Velocity Technologies,Enterprise Tech,Mid-Market,3-Year Enterprise,Manual Wire,61,1396.69,84048.61,32,30,2,0,9,0,32.2,0,5,1,1,0
AC-1544,Vortex Capital,Financial Services,Mid-Market,3-Year Enterprise,Auto-Invoice,42,1135.62,47495.83,61,52,6,1,6,1,52.1,1,20,0,0,0
AC-1545,Quantum Systems,Healthcare,SMB,Month-to-Month,Auto-Invoice,13,424.25,5654.43,9,8,5,0,10,11,35.1,1,10,1,1,0
AC-1546,Crest Global,Financial Services,Enterprise,1-Year Fixed,Credit Card,12,3025.77,37372.01,209,147,4,0,7,18,54.9,1,0,1,0,0
AC-1547,Titan Health,Enterprise Tech,SMB,3-Year Enterprise,Auto-Invoice,20,570.69,11109.09,11,5,4,2,4,3,77.9,0,10,0,0,1
AC-1548,Omni Technologies,Financial Services,Mid-Market,Month-to-Month,Manual Wire,50,1886.46,98377.01,61,47,5,1,4,21,71.5,1,5,1,0,0
AC-1549,Starlight Logistics,Logistics,Mid-Market,2-Year Fixed,Manual Wire,36,1559.98,58222.7,22,18,6,0,10,6,71.0,0,0,1,1,0
