account_id,company_name,industry,customer_segment,contract_type,payment_method,tenure_months,monthly_charges,total_charges,contract_licenses,active_users,support_tickets_30d,sla_breaches_90d,nps_score,last_login_days_ago,feature_usage_score,executive_sponsor_present,discount_percentage,paperless_billing,auto_renewal,churn,support_ticket_rate,usage_per_license,charge_per_user,engagement_score,account_health_index,churn_probability,prediction,risk_level
AC-1332,Synergy Networks,Financial Services,SMB,1-Year Fixed,Credit Card,28,321.16,8846.9,12,10,2,2,9,1,77.6,1,0,1,1,0,0.069,0.8333,32.12,82.56,82.17,0.017,0,LOW
AC-1333,Acme Global,Professional Services,Enterprise,3-Year Enterprise,ACH Direct Debit,71,2056.72,149592.6,440,242,2,3,9,6,40.8,1,0,1,1,0,0.0278,0.55,8.5,60.48,59.0,0.0682,0,LOW
AC-1334,Acme Systems,E-Commerce,Enterprise,1-Year Fixed,Auto-Invoice,10,2542.13,26081.76,151,138,4,0,7,21,48.4,1,5,0,0,1,0.3636,0.9139,18.42,57.04,57.78,0.393,0,MEDIUM
AC-1335,Apex Corp,E-Commerce,Enterprise,1-Year Fixed,ACH Direct Debit,57,3459.78,200176.52,189,142,2,2,10,4,50.2,0,15,1,1,0,0.0345,0.7513,24.36,70.12,69.03,0.132,0,LOW
AC-1336,Acme Technologies,Enterprise Tech,SMB,Month-to-Month,Credit Card,66,440.56,28771.26,5,4,1,0,6,1,35.7,1,0,1,0,1,0.0149,0.8,110.14,45.42,77.5,0.6729,1,HIGH
AC-1337,Zenith Cloud,Manufacturing,SMB,Month-to-Month,Credit Card,50,458.49,23172.97,17,8,4,2,5,2,87.5,0,5,1,1,0,0.0784,0.4706,57.31,72.5,26.41,0.2048,0,LOW
AC-1338,Nexus Systems,Financial Services,Mid-Market,2-Year Fixed,Credit Card,14,1043.75,13940.62,40,12,4,0,9,10,32.2,0,0,0,0,1,0.2667,0.3,86.98,55.32,63.0,0.6832,1,HIGH
AC-1339,Starlight Data,Enterprise Tech,SMB,1-Year Fixed,Credit Card,16,472.95,7765.38,19,17,3,0,7,2,74.2,1,5,1,0,0,0.1765,0.8947,27.82,72.52,85.89,0.0375,0,LOW
AC-1340,Zenith Health,Enterprise Tech,Enterprise,1-Year Fixed,Auto-Invoice,54,3772.93,195580.31,82,72,4,0,8,7,82.6,1,0,1,0,0,0.0727,0.878,52.4,81.56,86.06,0.0156,0,LOW
AC-1341,Nexus Data,Healthcare,Mid-Market,Month-to-Month,Credit Card,43,1662.28,70740.04,50,19,2,2,10,9,62.7,1,0,1,0,0,0.0455,0.38,87.49,77.62,69.1,0.1419,0,LOW
AC-1342,Acme Networks,Healthcare,Mid-Market,Month-to-Month,Credit Card,42,1385.57,55887.24,40,22,3,1,6,4,56.0,1,5,1,1,0,0.0698,0.55,62.98,57.6,58.0,0.1539,0,LOW
AC-1343,Crest Corp,E-Commerce,Enterprise,3-Year Enterprise,Credit Card,22,1525.69,34696.58,55,42,2,0,7,9,72.2,0,15,1,1,0,0.087,0.7636,36.33,71.32,57.77,0.0318,0,LOW
AC-1344,Nexus Logistics,Manufacturing,Mid-Market,1-Year Fixed,Auto-Invoice,68,1160.33,79299.34,22,17,6,1,10,2,68.0,1,10,1,0,0,0.087,0.7727,68.25,80.8,97.45,0.0107,0,LOW
AC-1345,Velocity Labs,Enterprise Tech,SMB,1-Year Fixed,Manual Wire,19,215.2,4166.88,8,7,5,1,9,4,86.1,0,5,1,1,0,0.25,0.875,30.74,87.66,73.5,0.0277,0,LOW
AC-1346,Omni Global,E-Commerce,Enterprise,Month-to-Month,Credit Card,66,1771.75,119070.53,279,111,3,1,6,7,20.7,0,0,1,1,1,0.0448,0.3978,15.96,36.42,35.46,0.7674,1,HIGH
AC-1347,Crest Health,Enterprise Tech,Enterprise,1-Year Fixed,Auto-Invoice,39,1508.91,60857.76,186,112,7,0,5,1,51.5,0,0,1,1,0,0.175,0.6022,13.47,50.9,50.54,0.4581,0,MEDIUM
AC-1348,Starlight Cloud,Manufacturing,Enterprise,3-Year Enterprise,Credit Card,19,2927.58,53580.22,372,137,3,0,6,1,78.1,1,5,0,0,1,0.15,0.3683,21.37,70.86,68.87,0.6367,1,HIGH
AC-1349,Omni Corp,Logistics,Enterprise,1-Year Fixed,ACH Direct Debit,16,3160.77,51380.1,449,257,4,0,6,6,68.9,1,15,1,1,1,0.2353,0.5724,12.3,65.34,65.45,0.3879,0,MEDIUM
AC-1350,Omni Networks,Healthcare,SMB,Month-to-Month,ACH Direct Debit,54,394.06,21439.12,12,4,3,0,8,6,81.5,1,20,1,0,0,0.0545,0.3333,98.51,80.9,76.67,0.0793,0,LOW
AC-1351,Acme Networks,E-Commerce,Mid-Market,1-Year Fixed,Credit Card,25,698.33,16639.28,48,45,4,0,7,4,72.7,1,10,1,1,0,0.1538,0.9375,15.52,71.62,83.75,0.0149,0,LOW
AC-1352,Zenith Labs,Financial Services,Mid-Market,2-Year Fixed,ACH Direct Debit,18,1564.54,27320.88,73,49,7,1,8,9,65.6,1,5,1,1,0,0.3684,0.6712,31.93,71.36,68.92,0.0564,0,LOW
AC-1353,Titan Logistics,Healthcare,SMB,1-Year Fixed,Auto-Invoice,23,256.38,5759.68,14,13,1,0,5,4,62.6,1,10,1,0,0,0.0417,0.9286,19.72,57.56,67.57,0.0528,0,LOW
AC-1354,Synergy Logistics,Logistics,Enterprise,2-Year Fixed,Credit Card,11,4245.57,44705.05,217,74,0,0,7,13,100.0,1,5,1,1,1,0.0,0.341,57.37,88.0,58.32,0.5708,1,MEDIUM
AC-1355,Omni Global,Healthcare,Mid-Market,1-Year Fixed,ACH Direct Debit,39,1769.97,68025.98,19,9,3,1,3,8,95.6,1,10,1,0,1,0.075,0.4737,196.66,69.36,26.47,0.4684,0,MEDIUM
AC-1356,Synergy Cloud,Financial Services,Mid-Market,2-Year Fixed,ACH Direct Debit,68,1657.11,107355.83,55,26,3,0,8,2,76.9,1,0,1,0,0,0.0435,0.4727,63.73,78.14,85.45,0.0145,0,LOW
AC-1357,Aegis Solutions,Healthcare,Mid-Market,1-Year Fixed,Credit Card,25,1654.12,41572.93,77,44,1,1,10,3,69.4,1,0,1,0,0,0.0385,0.5714,37.59,81.64,91.93,0.0343,0,LOW
AC-1358,Velocity Data,Logistics,SMB,Month-to-Month,ACH Direct Debit,63,692.8,42387.21,10,9,4,0,4,6,77.7,1,0,0,1,0,0.0625,0.9,76.98,62.62,56.0,0.0541,0,LOW
AC-1359,Acme Logistics,Financial Services,SMB,Month-to-Month,Auto-Invoice,30,507.08,14888.38,5,3,3,0,8,13,82.9,1,5,1,1,0,0.0968,0.6,169.03,81.74,71.5,0.0227,0,LOW
AC-1360,Titan Data,Enterprise Tech,Mid-Market,Month-to-Month,ACH Direct Debit,45,1423.35,66679.85,30,13,8,0,6,1,75.5,1,10,1,0,0,0.1739,0.4333,109.49,69.3,70.17,0.1307,0,LOW
AC-1361,Apex Technologies,E-Commerce,SMB,3-Year Enterprise,Auto-Invoice,61,386.61,23589.85,17,6,5,1,9,4,54.5,1,15,1,0,0,0.0806,0.3529,64.43,68.7,78.06,0.0236,0,LOW
AC-1362,Synergy Capital,Logistics,Enterprise,2-Year Fixed,Auto-Invoice,51,4636.76,231012.52,152,54,4,1,8,0,100.0,1,15,1,0,0,0.0769,0.3553,85.87,92.0,76.11,0.0259,0,LOW
AC-1363,Titan Health,Enterprise Tech,Enterprise,1-Year Fixed,Auto-Invoice,9,4735.37,43037.96,248,206,8,0,8,2,72.4,1,25,0,1,0,0.8,0.8306,22.99,75.44,92.61,0.0347,0,LOW
AC-1364,Vortex Cloud,Enterprise Tech,Enterprise,Month-to-Month,Credit Card,2,3300.01,6403.12,249,152,3,0,7,7,100.0,0,0,1,1,0,1.0,0.6104,21.71,88.0,57.71,0.0575,0,LOW
AC-1365,Titan Solutions,Enterprise Tech,Mid-Market,Month-to-Month,Auto-Invoice,5,1362.7,6523.51,76,61,3,2,10,0,71.4,0,5,1,1,1,0.5,0.8026,22.34,82.84,76.05,0.6772,1,HIGH
AC-1366,Omni Labs,Financial Services,Mid-Market,2-Year Fixed,Auto-Invoice,62,796.82,47035.98,59,46,6,0,8,6,63.6,1,5,1,1,0,0.0952,0.7797,17.32,70.16,85.59,0.0242,0,LOW
AC-1367,Hyperion Global,Healthcare,Mid-Market,1-Year Fixed,Auto-Invoice,69,1817.57,131075.06,66,26,1,1,6,14,92.9,0,15,0,1,0,0.0143,0.3939,69.91,79.74,24.88,0.098,0,LOW
AC-1368,Quantum Systems,E-Commerce,SMB,Month-to-Month,Auto-Invoice,52,350.31,18625.27,13,5,0,0,7,21,73.4,1,0,0,0,0,0.0,0.3846,70.06,72.04,47.19,0.1241,0,LOW
AC-1369,Hyperion Corp,E-Commerce,Mid-Market,1-Year Fixed,Credit Card,5,1991.09,10254.06,16,13,2,0,6,1,70.4,1,0,0,0,1,0.3333,0.8125,153.16,66.24,77.75,0.8095,1,CRITICAL
AC-1370,Apex Networks,E-Commerce,Mid-Market,Month-to-Month,Credit Card,59,728.94,45075.76,63,51,0,0,8,8,46.4,0,5,1,1,0,0.0,0.8095,14.29,59.84,68.19,0.1307,0,LOW
AC-1371,Acme Corp,Financial Services,Enterprise,Month-to-Month,Auto-Invoice,68,4663.2,330784.44,347,196,2,0,6,16,79.9,0,25,1,1,1,0.029,0.5648,23.79,71.94,35.3,0.5825,1,MEDIUM
AC-1372,Starlight Technologies,Logistics,Enterprise,1-Year Fixed,ACH Direct Debit,9,1968.38,18135.12,87,31,3,1,6,0,59.1,1,15,1,1,0,0.3,0.3563,63.5,59.46,60.13,0.1634,0,LOW
AC-1373,Crest Global,Healthcare,Mid-Market,Month-to-Month,ACH Direct Debit,22,1153.36,25866.14,49,15,2,1,8,3,59.9,1,5,1,0,0,0.087,0.3061,76.89,67.94,70.62,0.2907,0,LOW
AC-1374,Zenith Data,Professional Services,Mid-Market,3-Year Enterprise,ACH Direct Debit,27,1252.82,33274.27,38,19,2,0,7,15,59.2,0,15,0,0,0,0.0714,0.5,65.94,63.52,43.5,0.2205,0,LOW
AC-1375,Hyperion Networks,E-Commerce,SMB,Month-to-Month,Auto-Invoice,10,793.3,7618.87,5,2,4,1,9,1,75.9,1,0,1,1,0,0.3636,0.4,396.65,81.54,83.5,0.0601,0,LOW
AC-1376,Aegis Logistics,Enterprise Tech,Enterprise,Month-to-Month,ACH Direct Debit,61,2301.8,141444.94,201,93,2,0,6,16,40.4,1,5,0,1,0,0.0323,0.4627,24.75,48.24,48.25,0.1518,0,LOW
AC-1377,Titan Global,E-Commerce,Enterprise,Month-to-Month,Auto-Invoice,51,3619.62,186008.26,401,238,6,0,3,4,64.2,0,10,1,1,0,0.1154,0.5935,15.21,50.52,29.87,0.2229,0,LOW
AC-1378,Synergy Global,Financial Services,Mid-Market,2-Year Fixed,Auto-Invoice,10,1848.84,19324.51,74,28,4,0,6,0,85.6,1,0,1,0,0,0.3636,0.3784,66.03,75.36,70.57,0.1428,0,LOW
AC-1379,Zenith Solutions,E-Commerce,Enterprise,1-Year Fixed,Auto-Invoice,6,2217.58,13229.07,375,140,4,2,4,3,45.6,0,0,1,1,1,0.5714,0.3733,15.84,43.36,14.97,0.8874,1,CRITICAL
AC-1380,Crest Logistics,Enterprise Tech,Enterprise,1-Year Fixed,ACH Direct Debit,62,2338.79,147771.79,87,81,1,1,8,2,71.1,1,15,1,1,0,0.0159,0.931,28.87,74.66,84.62,0.0339,0,LOW
AC-1381,Starlight Data,Enterprise Tech,Mid-Market,Month-to-Month,Auto-Invoice,5,670.73,3378.79,63,45,0,0,4,2,56.6,1,10,1,0,0,0.0,0.7143,14.91,49.96,58.29,0.1382,0,LOW
AC-1382,Quantum Health,Manufacturing,Enterprise,Month-to-Month,Auto-Invoice,70,4688.13,317561.37,157,150,4,0,5,4,60.7,1,25,1,0,0,0.0563,0.9554,31.25,56.42,68.11,0.262,0,LOW
AC-1383,Synergy Systems,Enterprise Tech,Mid-Market,1-Year Fixed,Auto-Invoice,63,700.35,44528.26,57,31,3,1,6,4,97.8,1,0,1,1,0,0.0469,0.5439,22.59,82.68,57.88,0.0114,0,LOW
AC-1384,Nexus Data,Logistics,Enterprise,2-Year Fixed,ACH Direct Debit,56,2439.21,137143.74,200,155,6,0,10,4,38.3,0,5,1,1,0,0.1053,0.775,15.74,62.98,89.5,0.1473,0,LOW
AC-1385,Solstice Health,Financial Services,Enterprise,2-Year Fixed,Credit Card,59,2699.13,159151.62,123,55,4,0,5,0,81.8,0,5,1,1,0,0.0667,0.4472,49.08,69.08,48.94,0.0194,0,LOW
AC-1386,Velocity Data,E-Commerce,Mid-Market,Month-to-Month,Auto-Invoice,63,1779.44,112255.2,49,36,2,0,7,9,59.4,0,15,1,1,0,0.0312,0.7347,49.43,63.64,57.19,0.0985,0,LOW
AC-1387,Apex Health,E-Commerce,SMB,1-Year Fixed,Credit Card,59,788.33,44948.63,16,6,5,2,8,4,58.5,0,0,1,0,0,0.0833,0.375,131.39,67.1,45.5,0.0997,0,LOW
AC-1388,Quantum Systems,Healthcare,Mid-Market,3-Year Enterprise,Credit Card,51,730.84,37136.71,47,14,4,2,10,10,48.0,1,5,1,0,0,0.0769,0.2979,52.2,68.8,65.96,0.0472,0,LOW
AC-1389,Hyperion Labs,Financial Services,SMB,1-Year Fixed,Credit Card,50,341.45,17252.88,9,9,4,0,9,10,81.6,1,0,1,1,0,0.0784,1.0,37.94,84.96,92.0,0.0316,0,LOW
AC-1390,Hyperion Logistics,Enterprise Tech,Enterprise,2-Year Fixed,Auto-Invoice,4,3907.11,15611.95,456,314,4,0,9,2,64.6,0,15,1,1,0,0.8,0.6886,12.44,74.76,82.77,0.0289,0,LOW
AC-1391,Crest Labs,Enterprise Tech,SMB,Month-to-Month,ACH Direct Debit,48,772.79,37051.95,18,17,1,0,9,0,62.3,0,0,1,1,0,0.0204,0.9444,45.46,73.38,90.89,0.1203,0,LOW
AC-1392,Hyperion Labs,Financial Services,Enterprise,3-Year Enterprise,Auto-Invoice,32,2013.73,61716.91,362,193,2,0,5,14,70.0,0,0,1,0,0,0.0606,0.5331,10.43,62.0,29.66,0.1773,0,LOW
AC-1393,Aegis Data,E-Commerce,Mid-Market,2-Year Fixed,Credit Card,51,1185.2,58576.08,40,21,5,0,8,8,64.9,1,5,1,0,0,0.0962,0.525,56.44,70.94,77.5,0.011,0,LOW
AC-1394,Omni Corp,Professional Services,Mid-Market,3-Year Enterprise,Auto-Invoice,52,719.88,36763.59,51,30,5,0,9,0,32.0,1,5,1,0,0,0.0943,0.5882,24.0,55.2,98.76,0.0372,0,LOW
AC-1395,Nexus Global,Manufacturing,SMB,1-Year Fixed,Auto-Invoice,34,437.73,14762.79,13,10,6,2,5,7,59.2,1,0,1,0,0,0.1714,0.7692,43.77,55.52,39.88,0.2029,0,LOW
AC-1396,Starlight Health,Logistics,Mid-Market,1-Year Fixed,Auto-Invoice,36,974.26,35402.83,25,17,2,0,6,0,84.1,0,0,0,1,0,0.0541,0.68,57.31,74.46,61.6,0.0236,0,LOW
AC-1397,Vortex Health,Logistics,Enterprise,3-Year Enterprise,Credit Card,70,3713.32,269376.92,319,302,2,1,6,0,40.9,1,15,1,1,0,0.0282,0.9467,12.3,48.54,71.93,0.1031,0,LOW
AC-1398,Apex Systems,E-Commerce,Enterprise,Month-to-Month,Auto-Invoice,43,3488.34,144886.14,83,26,5,0,9,4,48.4,0,0,1,0,1,0.1136,0.3133,134.17,65.04,72.27,0.8272,1,CRITICAL
AC-1399,Omni Technologies,Financial Services,SMB,Month-to-Month,ACH Direct Debit,16,229.69,3496.83,8,6,4,0,7,0,60.3,1,0,1,1,1,0.2353,0.75,38.28,64.18,86.0,0.4573,0,MEDIUM
AC-1400,Hyperion Global,Manufacturing,Mid-Market,2-Year Fixed,Auto-Invoice,59,1955.8,114806.44,27,14,5,2,7,20,54.9,1,0,1,1,0,0.0833,0.5185,139.7,60.94,31.37,0.0606,0,LOW
AC-1401,Synergy Health,E-Commerce,SMB,2-Year Fixed,Credit Card,53,599.28,31546.19,17,7,1,0,5,13,67.5,1,20,1,0,0,0.0185,0.4118,85.61,60.5,43.74,0.0306,0,LOW
AC-1402,Aegis Data,Healthcare,Enterprise,3-Year Enterprise,ACH Direct Debit,19,2457.97,46943.82,228,150,9,0,7,6,48.3,1,0,1,1,0,0.45,0.6579,16.39,56.98,75.16,0.1783,0,LOW
AC-1403,Titan Capital,Enterprise Tech,Mid-Market,Month-to-Month,Credit Card,41,771.27,32675.79,58,38,5,0,6,0,61.0,1,15,1,0,0,0.119,0.6552,20.3,60.6,76.1,0.062,0,LOW
AC-1404,Hyperion Data,Financial Services,Enterprise,2-Year Fixed,ACH Direct Debit,47,2025.99,98100.65,78,31,7,2,8,2,67.1,0,15,1,1,0,0.1458,0.3974,65.35,72.26,48.95,0.0942,0,LOW
AC-1405,Quantum Data,Healthcare,SMB,2-Year Fixed,Credit Card,54,449.09,23280.93,8,4,6,1,5,2,79.7,0,5,0,0,0,0.1091,0.5,112.27,67.82,37.0,0.0424,0,LOW
AC-1406,Omni Capital,Manufacturing,Mid-Market,Month-to-Month,Auto-Invoice,55,1035.63,59431.67,70,41,3,2,8,4,90.4,1,0,1,0,0,0.0536,0.5857,25.26,86.24,64.71,0.0581,0,LOW
AC-1407,Titan Data,Healthcare,SMB,1-Year Fixed,ACH Direct Debit,19,383.83,7008.65,20,12,6,1,6,1,63.3,0,10,0,1,0,0.3,0.6,31.99,61.98,48.5,0.126,0,LOW
AC-1408,Starlight Logistics,Financial Services,Enterprise,Month-to-Month,Auto-Invoice,62,2987.99,187748.37,399,208,5,0,5,5,100.0,0,10,1,0,0,0.0794,0.5213,14.37,80.0,42.93,0.0311,0,LOW
AC-1409,Quantum Logistics,Professional Services,Mid-Market,Month-to-Month,Credit Card,59,835.74,50158.77,57,23,5,1,4,3,64.7,1,15,1,0,0,0.0833,0.4035,36.34,54.82,40.57,0.1563,0,LOW
AC-1410,Crest Solutions,Enterprise Tech,Mid-Market,3-Year Enterprise,ACH Direct Debit,65,1674.49,110799.67,20,6,1,0,5,18,82.9,1,15,1,0,0,0.0152,0.3,279.08,69.74,34.0,0.0409,0,LOW
AC-1411,Crest Data,Financial Services,Mid-Market,1-Year Fixed,Auto-Invoice,68,1649.23,109516.11,29,28,7,1,7,16,100.0,1,0,1,1,0,0.1014,0.9655,58.9,88.0,56.31,0.0205,0,LOW
AC-1412,Omni Health,Enterprise Tech,SMB,2-Year Fixed,Auto-Invoice,28,515.22,14181.41,11,11,3,0,7,5,70.5,0,10,0,1,0,0.1034,1.0,46.84,70.3,68.5,0.0657,0,LOW
AC-1413,Starlight Cloud,E-Commerce,SMB,3-Year Enterprise,Credit Card,18,268.81,4862.13,18,11,5,0,8,6,43.3,0,0,0,0,0,0.2632,0.6111,24.44,57.98,67.22,0.0954,0,LOW
AC-1414,Hyperion Systems,Manufacturing,SMB,1-Year Fixed,ACH Direct Debit,26,795.03,20049.8,17,17,5,1,8,0,69.6,1,5,1,0,1,0.1852,1.0,46.77,73.76,89.0,0.7127,1,HIGH
AC-1415,Acme Systems,Financial Services,Mid-Market,2-Year Fixed,Manual Wire,19,1433.67,25933.07,20,15,4,1,6,1,57.0,1,10,0,1,1,0.2,0.75,95.58,58.2,66.5,0.0959,0,LOW
AC-1416,Omni Corp,Manufacturing,Enterprise,1-Year Fixed,Credit Card,55,3620.36,200357.22,372,130,6,0,9,14,63.1,1,0,0,0,1,0.1071,0.3495,27.85,73.86,72.99,0.6394,1,HIGH
AC-1417,Zenith Data,Financial Services,Enterprise,2-Year Fixed,Credit Card,57,2407.92,136774.88,213,81,6,0,6,7,100.0,1,0,1,1,0,0.1034,0.3803,29.73,84.0,60.11,0.0265,0,LOW
AC-1418,Zenith Global,Manufacturing,SMB,Month-to-Month,Manual Wire,6,671.06,4089.47,14,13,1,1,8,1,46.0,1,0,1,0,0,0.1429,0.9286,51.62,59.6,86.07,0.2121,0,LOW
AC-1419,Zenith Technologies,Logistics,Enterprise,3-Year Enterprise,Auto-Invoice,1,4094.77,3950.1,124,92,2,0,7,5,73.4,0,5,1,1,0,1.0,0.7419,44.51,72.04,63.34,0.0722,0,LOW
AC-1420,Vortex Global,Logistics,Mid-Market,Month-to-Month,Auto-Invoice,8,751.41,6216.22,70,62,5,0,8,16,52.2,0,15,0,1,1,0.5556,0.8857,12.12,63.32,57.71,0.8145,1,CRITICAL
AC-1421,Omni Health,Enterprise Tech,Mid-Market,Month-to-Month,ACH Direct Debit,51,952.24,46846.14,35,33,4,1,7,2,62.5,0,5,1,0,0,0.0769,0.9429,28.86,65.5,61.86,0.1535,0,LOW
AC-1422,Vortex Logistics,Professional Services,Mid-Market,2-Year Fixed,ACH Direct Debit,25,980.75,25478.28,69,42,4,0,8,1,81.4,1,10,1,1,0,0.1538,0.6087,23.35,80.84,89.67,0.009,0,LOW
AC-1423,Quantum Solutions,E-Commerce,SMB,1-Year Fixed,ACH Direct Debit,47,603.63,28227.4,7,2,5,0,7,17,73.7,0,0,0,1,0,0.1042,0.2857,301.81,72.22,36.21,0.0406,0,LOW
AC-1424,Aegis Labs,Financial Services,Mid-Market,1-Year Fixed,Credit Card,55,667.97,36921.33,78,34,1,0,9,3,63.9,1,0,1,0,0,0.0179,0.4359,19.65,74.34,91.22,0.0143,0,LOW
AC-1425,Synergy Capital,Logistics,Mid-Market,1-Year Fixed,Auto-Invoice,64,1511.67,100583.68,60,21,5,0,5,3,56.3,1,0,1,0,0,0.0769,0.35,71.98,53.78,57.5,0.0375,0,LOW
AC-1426,Apex Technologies,Financial Services,Enterprise,2-Year Fixed,Credit Card,10,1535.28,15045.61,252,109,4,0,3,1,73.7,0,5,1,0,1,0.3636,0.4325,14.09,56.22,31.15,0.1919,0,LOW
AC-1427,Apex Solutions,Manufacturing,Mid-Market,Month-to-Month,Auto-Invoice,56,714.61,38744.89,74,43,5,0,5,13,98.7,1,5,1,1,0,0.0877,0.5811,16.62,79.22,47.12,0.0206,0,LOW
AC-1428,Velocity Systems,Enterprise Tech,Enterprise,Month-to-Month,Auto-Invoice,12,4282.76,51114.32,428,164,5,1,9,11,51.8,1,15,1,0,1,0.3846,0.3832,26.11,67.08,68.16,0.8371,1,CRITICAL
AC-1429,Aegis Labs,E-Commerce,Mid-Market,Month-to-Month,ACH Direct Debit,33,914.26,29399.32,61,25,3,2,7,3,100.0,1,5,1,1,0,0.0882,0.4098,36.57,88.0,54.7,0.0484,0,LOW
AC-1430,Titan Health,Healthcare,SMB,1-Year Fixed,Auto-Invoice,71,595.72,42413.89,23,14,3,1,7,0,89.6,1,5,1,1,0,0.0417,0.6087,42.55,81.76,73.17,0.0049,0,LOW
AC-1431,Hyperion Cloud,Enterprise Tech,SMB,Month-to-Month,ACH Direct Debit,17,528.58,8783.91,24,13,1,0,5,3,92.6,0,0,1,1,1,0.0556,0.5417,40.66,75.56,46.33,0.1243,0,LOW
AC-1432,Aegis Systems,Enterprise Tech,Enterprise,1-Year Fixed,Credit Card,61,2014.41,127357.82,381,239,3,3,7,1,73.6,1,0,1,1,0,0.0484,0.6273,8.43,72.16,52.05,0.0605,0,LOW
AC-1433,Zenith Systems,Enterprise Tech,Mid-Market,1-Year Fixed,Credit Card,10,1948.97,19698.87,70,42,10,0,5,0,89.1,0,0,1,1,0,0.9091,0.6,46.4,73.46,52.0,0.0998,0,LOW
AC-1434,Vortex Health,Healthcare,SMB,Month-to-Month,Auto-Invoice,31,502.24,14791.34,12,9,4,0,5,3,49.8,1,10,1,1,0,0.125,0.75,55.8,49.88,65.5,0.1256,0,LOW
AC-1435,Nexus Systems,Financial Services,Enterprise,1-Year Fixed,Auto-Invoice,60,2663.04,164663.33,225,215,4,0,6,0,56.0,1,5,0,1,0,0.0656,0.9556,12.39,57.6,82.11,0.0406,0,LOW
AC-1436,Omni Networks,Healthcare,Enterprise,2-Year Fixed,Auto-Invoice,70,3852.96,265127.9,454,170,3,2,8,19,81.8,1,0,1,0,0,0.0423,0.3744,22.66,81.08,37.99,0.4434,0,MEDIUM
AC-1437,Hyperion Data,Financial Services,Enterprise,Month-to-Month,Manual Wire,17,2020.42,33729.61,82,30,2,0,8,0,73.3,0,10,1,0,1,0.1111,0.3659,67.35,75.98,71.32,0.2807,0,LOW
AC-1438,Apex Labs,Financial Services,Mid-Market,1-Year Fixed,ACH Direct Debit,50,1640.62,81071.75,29,26,3,0,8,3,65.3,1,5,1,0,0,0.0588,0.8966,63.1,71.18,92.43,0.0151,0,LOW
AC-1439,Velocity Labs,E-Commerce,Enterprise,1-Year Fixed,Credit Card,37,2016.94,75598.89,206,135,6,2,4,1,23.0,1,0,1,1,0,0.1579,0.6553,14.94,29.8,38.61,0.2953,0,LOW
AC-1440,Hyperion Global,Enterprise Tech,SMB,1-Year Fixed,Auto-Invoice,62,296.21,18258.61,18,15,5,0,7,7,60.2,1,10,1,0,0,0.0794,0.8333,19.75,64.12,77.17,0.018,0,LOW
AC-1441,Omni Networks,Manufacturing,Mid-Market,2-Year Fixed,Manual Wire,72,818.29,59674.76,64,29,5,0,7,0,46.9,0,15,1,0,0,0.0685,0.4531,28.22,56.14,65.06,0.0504,0,LOW
AC-1442,Omni Labs,Manufacturing,Mid-Market,1-Year Fixed,Auto-Invoice,29,1218.59,34090.86,25,22,4,0,4,4,76.9,1,0,1,1,0,0.1333,0.88,55.39,62.14,58.6,0.0256,0,LOW
AC-1443,Omni Logistics,E-Commerce,Enterprise,1-Year Fixed,Auto-Invoice,32,1546.87,51827.15,323,306,3,1,7,9,64.6,0,10,1,1,1,0.0909,0.9474,5.06,66.76,51.45,0.6092,1,HIGH
AC-1444,Titan Global,Healthcare,Mid-Market,Month-to-Month,Credit Card,11,1133.24,12751.86,64,48,2,1,7,18,56.7,0,0,0,1,1,0.1667,0.75,23.61,62.02,34.0,0.9297,1,CRITICAL
AC-1445,Apex Labs,Manufacturing,Mid-Market,1-Year Fixed,Manual Wire,6,1215.96,7113.52,52,19,3,0,8,7,100.0,0,15,1,1,0,0.4286,0.3654,64.0,92.0,60.81,0.0309,0,LOW
AC-1446,Solstice Health,Enterprise Tech,SMB,1-Year Fixed,Auto-Invoice,35,580.73,20781.19,7,6,4,0,7,0,86.7,0,20,0,0,0,0.1111,0.8571,96.79,80.02,73.14,0.0658,0,LOW
AC-1447,Solstice Systems,Enterprise Tech,SMB,Month-to-Month,Auto-Invoice,33,610.63,20301.97,8,7,6,2,6,0,87.0,1,5,0,1,0,0.1765,0.875,87.23,76.2,60.5,0.0976,0,LOW
AC-1448,Nexus Corp,Enterprise Tech,Mid-Market,1-Year Fixed,Manual Wire,18,747.34,12926.4,41,34,2,0,9,8,100.0,1,0,0,1,0,0.1053,0.8293,21.98,96.0,91.59,0.0049,0,LOW
AC-1449,Solstice Systems,Logistics,SMB,3-Year Enterprise,Auto-Invoice,37,600.19,21492.4,6,2,3,0,3,1,82.4,1,5,1,1,0,0.0789,0.3333,300.09,61.44,44.17,0.0325,0,LOW
AC-1450,Apex Capital,Enterprise Tech,SMB,1-Year Fixed,Auto-Invoice,13,340.21,4219.86,15,13,3,0,7,3,54.1,0,0,1,1,0,0.2143,0.8667,26.17,60.46,68.83,0.1462,0,LOW
AC-1451,Vortex Data,Healthcare,SMB,1-Year Fixed,Credit Card,64,493.79,32579.83,20,8,1,1,3,23,52.0,0,0,0,0,1,0.0154,0.4,61.72,43.2,-12.5,0.822,1,CRITICAL
AC-1452,Velocity Capital,Professional Services,Enterprise,3-Year Enterprise,ACH Direct Debit,1,2241.38,2252.97,222,101,3,0,5,10,85.4,0,10,1,0,0,1.5,0.455,22.19,71.24,34.1,0.1449,0,LOW
